"feat","mz","is_known","is_on_tissue","metabolite_name","metabolite_adduct","metabolite_score","rho_out","rho_in","label"
222,462.2992,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 462.2992 (unknown)"
223,463.2482,FALSE,TRUE,NA,NA,NA,-1,0.7,"m/z 463.2482 (unknown)"
224,463.284,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 463.2840 (unknown)"
225,463.3029,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 463.3029 (unknown)"
226,464.3136,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 464.3136 (unknown)"
227,465.3076,TRUE,TRUE,"Cholesterol sulfate","[M-H]-",65.7,-1,0.4,"Cholesterol sulfate (465.3076)"
228,466.307,FALSE,TRUE,NA,NA,NA,-1,0.7,"m/z 466.3070 (unknown)"
229,478.2595,FALSE,TRUE,NA,NA,NA,-1,0.7,"m/z 478.2595 (unknown)"
230,478.2949,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 478.2949 (unknown)"
231,479.297,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 479.2970 (unknown)"
232,480.2733,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 480.2733 (unknown)"
233,480.3098,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 480.3098 (unknown)"
234,481.3137,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 481.3137 (unknown)"
235,482.27,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 482.2700 (unknown)"
236,485.233,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 485.2330 (unknown)"
237,486.2387,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 486.2387 (unknown)"
238,486.2996,FALSE,TRUE,NA,NA,NA,-1,0,"m/z 486.2996 (unknown)"
239,488.3148,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 488.3148 (unknown)"
240,489.2639,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 489.2639 (unknown)"
241,489.3205,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 489.3205 (unknown)"
242,490.3298,FALSE,TRUE,NA,NA,NA,-1,0.1,"m/z 490.3298 (unknown)"
243,491.2803,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 491.2803 (unknown)"
244,498.2639,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 498.2639 (unknown)"
245,498.2915,TRUE,FALSE,"Taurodeoxycholic acid","[M-H]-",79.7,-1,0,"Taurodeoxycholic acid (498.2915)"
246,500.2784,TRUE,TRUE,"LPE(20:4)","[M-H]-",98.2,-1,0.1,"LPE(20:4) (500.2784)"
247,501.282,FALSE,TRUE,NA,NA,NA,-1,0.1,"m/z 501.2820 (unknown)"
248,502.2918,FALSE,TRUE,NA,NA,NA,-1,0,"m/z 502.2918 (unknown)"
249,504.2748,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 504.2748 (unknown)"
251,506.2895,FALSE,TRUE,NA,NA,NA,-1,0.7,"m/z 506.2895 (unknown)"
252,506.3254,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 506.3254 (unknown)"
253,507.2935,FALSE,TRUE,NA,NA,NA,-1,0.7,"m/z 507.2935 (unknown)"
254,507.3273,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 507.3273 (unknown)"
255,508.3026,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 508.3026 (unknown)"
256,508.3407,FALSE,TRUE,NA,NA,NA,-1,0.1,"m/z 508.3407 (unknown)"
258,509.2919,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 509.2919 (unknown)"
259,512.2745,TRUE,FALSE,"Sulfolithocholylglycine","[M-H]-",43.7,-1,0.1,"Sulfolithocholylglycine (512.2745)"
261,519.3098,FALSE,TRUE,NA,NA,NA,-1,0.1,"m/z 519.3098 (unknown)"
262,524.2782,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 524.2782 (unknown)"
263,526.2583,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 526.2583 (unknown)"
264,526.2935,TRUE,FALSE,"LPE 22:5","[M-H]-",95.7,-1,0.1,"LPE 22:5 (526.2935)"
265,527.2619,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 527.2619 (unknown)"
266,528.2733,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 528.2733 (unknown)"
267,528.3086,FALSE,TRUE,NA,NA,NA,-1,0,"m/z 528.3086 (unknown)"
268,529.2768,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 529.2768 (unknown)"
269,530.2855,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 530.2855 (unknown)"
270,531.2968,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 531.2968 (unknown)"
271,532.3087,FALSE,TRUE,NA,NA,NA,-1,0.7,"m/z 532.3087 (unknown)"
272,534.2853,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 534.2853 (unknown)"
273,534.3232,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 534.3232 (unknown)"
274,536.505,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 536.5050 (unknown)"
275,546.281,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 546.2810 (unknown)"
276,552.2736,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 552.2736 (unknown)"
277,553.2776,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 553.2776 (unknown)"
278,554.2882,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 554.2882 (unknown)"
279,555.2924,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 555.2924 (unknown)"
280,556.2697,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 556.2697 (unknown)"
281,556.3049,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 556.3049 (unknown)"
283,563.3373,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 563.3373 (unknown)"
285,571.2894,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 571.2894 (unknown)"
288,581.3095,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 581.3095 (unknown)"
289,591.3674,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 591.3674 (unknown)"
290,599.3216,TRUE,TRUE,"LPI(18:0)","[M-H]-",87.8,-1,0.3,"LPI(18:0) (599.3216)"
292,610.2701,FALSE,TRUE,NA,NA,NA,-1,-0.6,"m/z 610.2701 (unknown)"
295,616.4712,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 616.4712 (unknown)"
296,617.4745,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 617.4745 (unknown)"
297,618.482,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 618.4820 (unknown)"
298,621.3026,FALSE,TRUE,NA,NA,NA,-1,0.1,"m/z 621.3026 (unknown)"
300,634.4094,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 634.4094 (unknown)"
301,642.4874,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 642.4874 (unknown)"
302,645.4505,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 645.4505 (unknown)"
303,646.4539,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 646.4539 (unknown)"
304,647.4649,FALSE,TRUE,NA,NA,NA,-1,0.1,"m/z 647.4649 (unknown)"
305,650.4051,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 650.4051 (unknown)"
308,664.4194,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 664.4194 (unknown)"
309,671.4657,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 671.4657 (unknown)"
310,672.4717,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 672.4717 (unknown)"
311,673.4814,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 673.4814 (unknown)"
312,674.4855,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 674.4855 (unknown)"
313,675.4906,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 675.4906 (unknown)"
314,687.4974,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 687.4974 (unknown)"
315,687.5449,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 687.5449 (unknown)"
316,688.5479,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 688.5479 (unknown)"
317,689.5555,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 689.5555 (unknown)"
318,695.4655,FALSE,TRUE,NA,NA,NA,-1,0.1,"m/z 695.4655 (unknown)"
319,697.4811,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 697.4811 (unknown)"
320,699.4971,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 699.4971 (unknown)"
321,700.5009,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 700.5009 (unknown)"
322,700.5299,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 700.5299 (unknown)"
323,701.5142,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 701.5142 (unknown)"
324,702.5155,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 702.5155 (unknown)"
325,714.5107,TRUE,FALSE,"PE(34:2)","[M-H]-",80.8,-1,0.3,"PE(34:2) (714.5107)"
326,716.524,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 716.5240 (unknown)"
327,717.5256,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 717.5256 (unknown)"
328,718.538,FALSE,TRUE,NA,NA,NA,-1,0.1,"m/z 718.5380 (unknown)"
329,721.4857,FALSE,TRUE,NA,NA,NA,-1,0.1,"m/z 721.4857 (unknown)"
330,722.5136,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 722.5136 (unknown)"
331,723.5047,FALSE,TRUE,NA,NA,NA,-1,0.1,"m/z 723.5047 (unknown)"
332,725.5146,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 725.5146 (unknown)"
333,728.5266,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 728.5266 (unknown)"
334,738.5092,TRUE,FALSE,"PE(36:4)","[M-H]-",91.1,-1,0.1,"PE(36:4) (738.5092)"
335,742.5398,TRUE,TRUE,"PE(36:2)","[M-H]-",96.4,-1,0.3,"PE(36:2) (742.5398)"
336,743.5434,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 743.5434 (unknown)"
337,744.555,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 744.5550 (unknown)"
338,745.5585,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 745.5585 (unknown)"
339,746.5629,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 746.5629 (unknown)"
340,748.5291,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 748.5291 (unknown)"
341,750.5442,FALSE,TRUE,NA,NA,NA,-1,0.1,"m/z 750.5442 (unknown)"
342,762.5101,TRUE,FALSE,"PE(38:6)","[M-H]-",85.7,-1,0.3,"PE(38:6) (762.5101)"
343,766.539,TRUE,TRUE,"PE(38:4)","[M-H]-",98.8,-1,0.1,"PE(38:4) (766.5390)"
344,767.5435,FALSE,TRUE,NA,NA,NA,-1,0.1,"m/z 767.5435 (unknown)"
345,768.5533,FALSE,TRUE,NA,NA,NA,-1,0.1,"m/z 768.5533 (unknown)"
346,770.5704,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 770.5704 (unknown)"
347,771.5746,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 771.5746 (unknown)"
348,772.5857,FALSE,TRUE,NA,NA,NA,-1,0.1,"m/z 772.5857 (unknown)"
