"section","x0","y0","x1","y1"
1,2689,2833,5520,5664
2,2321,7617,5792,10448
3,12129,3825,15280,6656
4,10897,8593,13728,11424
5,20705,3217,23856,6048
6,21313,8497,24464,11648
