"mz","count","freq","mean","max","nz","mz_curated","is_known","is_on_tissue","metabolite_name","metabolite_adduct","metabolite_score","metabolite_hmdb","off_tissue_flagged","in_8772_set"
110.986020487568,30245,0.308329660643455,0.244595490860932,6.2304476580386,27984,110.986020487568,FALSE,TRUE,NA,NA,NA,NA,FALSE,TRUE
111.009771518668,21114,0.212285147642133,0.137842620706826,4.61595252041865,19267,111.009771518668,TRUE,FALSE,"Furoic acid","[M-H]-",54.8,"HMDB0000617",FALSE,TRUE
113.025497708496,68965,0.731004847950639,0.838121615151829,10.3454175152749,66346,113.025497708496,FALSE,TRUE,NA,NA,NA,NA,FALSE,TRUE
115.004616113557,21850,0.216648303217276,0.160052714840407,5.21678436453947,19663,115.004616113557,TRUE,FALSE,"Fumarate**","[M-H]-",59.4,"HMDB0000134",FALSE,TRUE
122.002362517866,22093,0.226773909211106,0.242711761085656,8.20960222862988,20582,122.002362517866,FALSE,TRUE,NA,NA,NA,NA,FALSE,TRUE
122.986220406263,86184,0.941009255178493,2.31944855546737,14.5081982263188,85406,122.986220406263,TRUE,TRUE,"Butenoic acid","[M+K-2H]-",66,"HMDB0010720",FALSE,TRUE
124.008359361652,46849,0.475385632437197,0.447920305211495,6.72021476510067,43146,124.008359361652,TRUE,FALSE,"Taurine","[M-H]-",60.8,"HMDB0000251",FALSE,TRUE
127.052232788969,63137,0.673171000440723,0.720145214695573,5.98052499158828,61097,127.052232788969,TRUE,FALSE,"Dihydrothymine","[M-H]-",63.3,"HMDB0000079",TRUE,TRUE
127.077339259005,21246,0.216483032172763,0.173578109925479,5.83196884190446,19648,127.077339259005,TRUE,FALSE,"Hydroxyheptanoic acid","[M-H2O-H]-",65.1,"HMDB0061653",FALSE,TRUE
128.036217924399,83530,0.907393124724548,2.28407893000944,21.0105125186227,82355,128.036217924399,TRUE,FALSE,"Pyroglutamic acid","[M-H]-",64.8,"HMDB0000267",FALSE,TRUE
131.083527457822,30702,0.314863375936536,0.225550005130758,3.88450006724311,28577,131.083527457822,TRUE,FALSE,"Ornithine","[M-H]-",64.7,"HMDB0000214",FALSE,TRUE
132.031658947146,69750,0.724691494050242,1.14165098665957,13.7782950751878,65773,132.031658947146,TRUE,TRUE,"Aspartate","[M-H]-",45.9,"HMDB0000191",FALSE,TRUE
133.015706979211,19599,0.192937417364478,0.149123195202431,5.3865114525403,17511,133.015706979211,TRUE,FALSE,"Malate","[M-H]-",45.1,"HMDB0000156",FALSE,TRUE
134.047938611055,79620,0.855321727633319,1.25925313153805,8.24475539837005,77629,134.047938611055,TRUE,FALSE,"Adenine","[M-H]-",73.1,"HMDB0000034",TRUE,TRUE
134.987069870716,72130,0.76135962979286,1.11741168238396,13.1224348921102,69101,134.987069870716,FALSE,TRUE,NA,NA,NA,NA,FALSE,TRUE
135.032146732398,44955,0.470008814455707,0.448639056871627,10.7668423970755,42658,135.032146732398,TRUE,FALSE,"Hypoxanthine","[M-H]-",66.2,"HMDB0000157",TRUE,TRUE
137.001750059134,56219,0.596992066989863,0.971047898131116,14.6004503757737,54183,137.001750059134,TRUE,TRUE,"Pentenoic acid","[M+K-2H]-",73.9,"HMDB0031602",FALSE,TRUE
138.981265050155,13139,0.12788673424416,0.0850930556383293,3.84770752449621,11607,138.981265050155,TRUE,FALSE,"Acetylphosphate","[M-H]-",61.1,"HMDB0001494",FALSE,TRUE
139.052394938901,8695,0.0866130453944469,0.0506303760519896,3.62391020136616,7861,139.052394938901,TRUE,FALSE,"Imidazolepropionate","[M-H]-",60.7,"HMDB0002271",FALSE,TRUE
