page	type	rt	x_left	y_bot_pdfcoord	x_right	y_top_pdfcoord	contents
12	/Text		573.967	415.016	597.967	439.016	Out
12	/Popup		1008.0	347.016	1192.0	439.016	
12	/Text		510.849	445.163	534.849	469.163	Out
12	/Popup		1008.0	377.163	1192.0	469.163	
12	/Text		406.279	440.452	430.279	464.452	Out
12	/Popup		1008.0	372.452	1192.0	464.452	
12	/Text		349.755	428.205	373.755	452.205	Out
12	/Popup		1008.0	360.205	1192.0	452.205	
13	/Text		523.095	355.666	547.095	379.666	Mixed
13	/Popup		1008.0	287.666	1192.0	379.666	
14	/Text		660.638	498.861	684.638	522.861	Out
14	/Popup		1008.0	430.861	1192.0	522.861	
14	/Text		621.071	427.263	645.071	451.263	Two organoids, out
14	/Popup		1008.0	359.263	1192.0	451.263	
14	/Text		440.193	235.081	464.193	259.081	Out
14	/Popup		1008.0	167.081	1192.0	259.081	
14	/Text		413.815	403.712	437.815	427.712	Out
14	/Popup		1008.0	335.712	1192.0	427.712	
15	/Text		706.799	198.34	730.799	222.34	Out
15	/Popup		1008.0	130.34	1192.0	222.34	
15	/Text		611.65	304.794	635.65	328.794	Mixed
15	/Popup		1008.0	236.794	1192.0	328.794	
15	/Text		435.483	302.91	459.483	326.91	Mixed
15	/Popup		1008.0	234.91	1192.0	326.91	
15	/Text		399.684	229.429	423.684	253.429	Mixed
15	/Popup		1008.0	161.429	1192.0	253.429	
15	/Text		578.677	459.294	602.677	483.294	Mixed
15	/Popup		1008.0	391.294	1192.0	483.294	
15	/Text		518.385	530.891	542.385	554.891	Mixed
15	/Popup		1008.0	462.891	1192.0	554.891	
15	/Text		315.84	272.764	339.84	296.764	Out
15	/Popup		1008.0	204.764	1192.0	296.764	
15	/Text		307.362	449.873	331.362	473.873	mixed
15	/Popup		1008.0	381.873	1192.0	473.873	
15	/Text		352.581	559.153	376.581	583.153	Mixed
15	/Popup		1008.0	491.153	1192.0	583.153	
16	/Text		581.504	130.511	605.504	154.511	Out
16	/Popup		1008.0	62.5114	1192.0	154.511	
16	/Text		563.604	252.98	587.604	276.98	Out
16	/Popup		1008.0	184.98	1192.0	276.98	
16	/Text		571.141	369.797	595.141	393.797	Out
16	/Popup		1008.0	301.797	1192.0	393.797	
16	/Text		479.76	424.437	503.76	448.437	Out
16	/Popup		1008.0	356.437	1192.0	448.437	
16	/Text		384.611	477.193	408.611	501.193	Out
16	/Popup		1008.0	409.193	1192.0	501.193	
16	/Text		323.377	552.558	347.377	576.558	Out
16	/Popup		1008.0	484.558	1192.0	576.558	
16	/Text		359.175	391.465	383.175	415.465	Mixed
16	/Popup		1008.0	323.465	1192.0	415.465	
17	/Text		394.974	181.383	418.974	205.383	Mixed
17	/Popup		1008.0	113.383	1192.0	205.383	
17	/Text		399.684	279.358	423.684	303.358	Mixed
17	/Popup		1008.0	211.358	1192.0	303.358	
17	/Text		457.151	400.885	481.151	424.885	Out
17	/Popup		1008.0	332.885	1192.0	424.885	
17	/Text		561.72	288.779	585.72	312.779	Out
17	/Popup		1008.0	220.779	1192.0	312.779	
17	/Text		610.708	373.565	634.708	397.565	Out
17	/Popup		1008.0	305.565	1192.0	397.565	
17	/Text		577.735	234.139	601.735	258.139	Out
17	/Popup		1008.0	166.139	1192.0	258.139	
18	/Text		394.974	267.111	418.974	291.111	In
18	/Popup		1008.0	199.111	1192.0	291.111	
18	/Text		614.476	416.901	638.476	440.901	Mixed
18	/Popup		1008.0	348.901	1192.0	440.901	
19	/Text		508.022	374.507	532.022	398.507	Mixed
19	/Popup		1008.0	306.507	1192.0	398.507	
20	/Text		452.44	285.011	476.44	309.011	Mixed
20	/Popup		1008.0	217.011	1192.0	309.011	
21	/Text		509.906	445.163	533.906	469.163	Mixed
21	/Popup		1008.0	377.163	1192.0	469.163	
21	/Text		397.8	462.12	421.8	486.12	Mixed
21	/Popup		1008.0	394.12	1192.0	486.12	
21	/Text		407.221	376.392	431.221	400.392	Mixed
21	/Popup		1008.0	308.392	1192.0	400.392	
21	/Text		356.349	283.127	380.349	307.127	Out
21	/Popup		1008.0	215.127	1192.0	307.127	
21	/Text		349.755	195.514	373.755	219.514	Out
21	/Popup		1008.0	127.514	1192.0	219.514	
21	/Text		582.446	317.041	606.446	341.041	Mixed
21	/Popup		1008.0	249.041	1192.0	341.041	
