"metric","scope","g1","g2","n1","n2","p","stars"
"grad_near50","0h","basolateral_out","apical_out",19,7,0.03,"*"
"grad_near50","0h","basolateral_out","mixed",19,16,0.635288717552557,"ns"
"grad_near50","0h","apical_out","mixed",7,16,0.032885049172571,"*"
"grad_near50","20h","basolateral_out","apical_out",4,23,0.0107122507122507,"*"
"grad_near50","20h","basolateral_out","mixed",4,15,0.0799793601651187,"ns"
"grad_near50","20h","apical_out","mixed",23,15,0.181259547169812,"ns"
"grad_near100","all","basolateral_out","apical_out",23,30,0.00103711354462436,"**"
"grad_near100","all","basolateral_out","mixed",23,31,0.229534924634587,"ns"
"grad_near100","all","apical_out","mixed",30,31,0.00681680571370616,"**"
"grad_near100","0h","basolateral_out","apical_out",19,7,0.03,"*"
"grad_near100","0h","basolateral_out","mixed",19,16,0.934887129490283,"ns"
"grad_near100","0h","apical_out","mixed",7,16,0.0224672352818806,"*"
"grad_near100","20h","basolateral_out","apical_out",4,23,0.0137891737891738,"*"
"grad_near100","20h","basolateral_out","mixed",4,15,0.0799793601651187,"ns"
"grad_near100","20h","apical_out","mixed",23,15,0.181259547169812,"ns"
