"sid","instance","apical_class","rho_out","far_index","near50","near100"
"AO_0h_sl6A_sec1a",1,"basolateral_out",0.885714285714286,0.776710450129442,1.57975957779568e-05,1.65418008845789e-05
"AO_0h_sl6A_sec1a",2,"mixed",0.2,0.795761204091768,8.84146037212648e-06,8.7641772462433e-06
"AO_0h_sl6A_sec1b",1,"basolateral_out",-0.7,0.421639286309385,9.84211934190076e-06,9.19747841191775e-06
"AO_0h_sl6A_sec2a",1,"mixed",-0.642857142857143,0.521099650245336,1.29489294613906e-05,1.2721150724113e-05
"AO_0h_sl6A_sec2a",2,"basolateral_out",-0.214285714285714,0.34868416149832,1.46158648682281e-05,1.26836801242226e-05
"AO_0h_sl6A_sec2a",3,"apical_out",0.771428571428571,0.127212788754395,1.36915197415813e-05,1.46669149649501e-05
"AO_0h_sl6A_sec2a",4,"basolateral_out",-0.371428571428571,0.187789617472589,1.17171982436461e-05,1.36882446734216e-05
"AO_0h_sl6A_sec2a",6,"basolateral_out",-0.714285714285714,0.295485294133913,2.53380208624679e-05,2.08897339744157e-05
"AO_0h_sl6A_sec2a",7,"apical_out",-0.6,0.137107529337424,3.31734207838607e-05,3.03399540782605e-05
"AO_0h_sl6A_sec2a",8,"apical_out",-0.892857142857143,0.117603078320641,2.33842551737105e-05,2.10452741575025e-05
"AO_0h_sl6A_sec3a",1,"basolateral_out",-0.485714285714286,0.573145196122346,8.96715723645412e-06,8.97312159333932e-06
"AO_0h_sl6A_sec3a",2,"mixed",-0.464285714285714,0.175158053500784,6.80416565934495e-06,6.48253105857969e-06
"AO_0h_sl6A_sec3a",3,"basolateral_out",0.2,0.965405912998824,1.23030018873132e-05,1.05235599360828e-05
"AO_0h_sl6A_sec3a",5,"apical_out",0.75,0.467676650263279,5.23645834319212e-06,4.88448456657223e-06
"AO_0h_sl6A_sec3b",1,"basolateral_out",0.214285714285714,0.699968312951381,7.91885049592454e-06,7.22291623941554e-06
"AO_0h_sl6A_sec3b",2,"basolateral_out",-0.285714285714286,1.16427628187759,1.01263359306376e-05,1.12772896752498e-05
"AO_0h_sl6A_sec4a",1,"basolateral_out",-0.285714285714286,0.696554987969352,8.57448943133031e-06,9.81652745377617e-06
"AO_0h_sl6A_sec4a",2,"mixed",-0.321428571428571,0.717784247496094,7.82183166872016e-06,6.79581426918719e-06
"AO_0h_sl6A_sec4a",3,"basolateral_out",-0.0857142857142857,0.785246484027757,8.39379868469179e-06,1.09382008581831e-05
"AO_0h_sl6A_sec4b",1,"mixed",-0.714285714285714,0.745727318415742,1.04478176436845e-05,7.847639963848e-06
"AO_0h_sl6A_sec4b",2,"basolateral_out",0.485714285714286,4.78853124676361,8.40723471936553e-06,8.03926266091941e-06
"AO_0h_sl6A_sec4b",3,"mixed",0.0857142857142857,1.3767975308697,1.10512912168684e-05,1.04844348296679e-05
"AO_0h_sl6A_sec4b",4,"basolateral_out",-0.9,1.02015506728039,9.42673253725533e-06,8.28508173125595e-06
"AO_0h_sl6A_sec4b",5,"basolateral_out",0.3,2.40983442852352,9.24797875328884e-06,1.08591876599593e-05
"AO_0h_sl6A_sec4b",6,"basolateral_out",-0.485714285714286,3.07191734844337,7.12714133914772e-06,7.02945838307468e-06
"AO_0h_sl6A_sec4b",7,"basolateral_out",0.257142857142857,0.552408634643081,8.23868853124331e-06,8.74302674818482e-06
"AO_0h_sl6A_sec5a",3,"basolateral_out",0,1.0491055324731,9.52611942877524e-06,8.86862539669788e-06
"AO_0h_sl6A_sec5a",4,"apical_out",-0.821428571428571,0.238742424208642,1.54211599462363e-05,1.1570215324242e-05
"AO_0h_sl6A_sec5a",5,"apical_out",0.2,0.525059794877154,1.32511145852549e-05,1.44124263110481e-05
"AO_0h_sl6A_sec5a",6,"mixed",-0.25,2.41925146982447,1.45009307440798e-05,1.3453316379499e-05
"AO_0h_sl6A_sec5a",7,"apical_out",-0.6,0.22686113065967,2.26138311802489e-05,1.56972545737586e-05
"AO_0h_sl6A_sec5b",1,"mixed",-0.257142857142857,0.534724620295451,1.292446820821e-05,1.28682990225236e-05
"AO_0h_sl6A_sec5b",2,"mixed",-0.321428571428571,1.07162870266617,9.20206752574422e-06,9.27126465826674e-06
"AO_0h_sl6A_sec5b",4,"mixed",-0.942857142857143,0.317477264343082,1.78342617963207e-05,1.29904291545814e-05
"AO_0h_sl6A_sec5b",6,"mixed",0.771428571428571,1.30485180562717,7.03882114919366e-06,8.297308949588e-06
"AO_0h_sl6A_sec5b",7,"mixed",-0.214285714285714,0.276174279663632,1.33807709802399e-05,1.46588759644897e-05
"AO_0h_sl6A_sec5b",9,"mixed",-0.928571428571428,1.64922416679889,1.39951468534786e-05,1.12934563180083e-05
"AO_0h_sl6A_sec6a",1,"mixed",-0.314285714285714,0.490341027803693,9.81727191891536e-06,9.929256948983e-06
"AO_0h_sl6A_sec6a",3,"basolateral_out",0.178571428571429,0.869530473086579,9.18425679710972e-06,9.64439817816102e-06
"AO_0h_sl6A_sec6a",4,"basolateral_out",-0.771428571428571,0.581692538247399,1.13911318358038e-05,9.58985731774258e-06
"AO_0h_sl6A_sec6a",5,"mixed",-0.0857142857142857,1.24481458561337,8.62930891824439e-06,8.86648762568027e-06
"AO_0h_sl6A_sec6a",6,"mixed",0,0.352905149365647,9.72566082432904e-06,1.09303455024664e-05
"AO_20h_sl4A_sec1a",1,"basolateral_out",-0.142857142857143,0.561788324338367,6.52877071406778e-06,7.04215336896614e-06
"AO_20h_sl4A_sec1a",2,"mixed",-0.678571428571428,0.273236241341746,8.18020346122176e-06,8.8495589285196e-06
