"sid","group","instance","apical_class","n_px","cit","dha","cit_rel","dha_rel","cit_mtic","dha_mtic","cit_dha"
"AO_0h_sl6A_sec1a","0h",1,"basolateral_out",335,3.19879732171464e-05,11.2657193165548,0.524011970650161,-0.18352704898887,3.03577625123029e-06,1.07977946254166,-18.4259784168951
"AO_0h_sl6A_sec1a","0h",2,"mixed",80,2.98180564141262e-05,14.3222646011696,0.422668609228311,0.162793144392023,2.0884222352661e-06,1.05208019867295,-18.8736419716979
"AO_0h_sl6A_sec1b","0h",1,"basolateral_out",161,1.76944143647001e-05,10.1583529359395,0,0,1.92540396837312e-06,1.02922215433585,-19.1309410600153
"AO_0h_sl6A_sec2a","0h",1,"mixed",382,7.74165553316858e-05,13.5155123393803,-0.0126252418985354,0,6.04666919792831e-06,1.1738887673774,-17.4135426552116
"AO_0h_sl6A_sec2a","0h",2,"basolateral_out",89,3.3922108642059e-05,8.39175824846401,-1.20304150541835,-0.687571179717345,3.80738845889428e-06,0.912130290906391,-17.9163877390141
"AO_0h_sl6A_sec2a","0h",3,"apical_out",175,0.000148549282472449,13.3359815886611,0.927602373632432,-0.0192921841938489,9.49931082394811e-06,1.03392607017911,-16.4540228554868
"AO_0h_sl6A_sec2a","0h",4,"basolateral_out",116,7.80970123321385e-05,14.2885786726606,0,0.0802462125304792,5.71348665243928e-06,1.06467657998583,-17.4811636258436
"AO_0h_sl6A_sec2a","0h",6,"basolateral_out",52,3.46564696240831e-05,10.0180976427836,-1.17214265997979,-0.432007623676669,3.4244323208301e-06,1.00144932409264,-18.1410524496162
"AO_0h_sl6A_sec2a","0h",7,"apical_out",49,0.000179395564723143,16.2093191737616,1.19980495929728,0.262207293954258,9.98352219243316e-06,1.01664880336057,-16.4633197479701
"AO_0h_sl6A_sec2a","0h",8,"apical_out",58,0.000156181254722225,19.6918559066289,0.999882044878092,0.542982886052079,9.66129914536089e-06,1.30077482792635,-16.9440182544871
"AO_0h_sl6A_sec3a","0h",1,"basolateral_out",349,2.00921319273134e-05,8.67127022230012,0,-0.302465513022902,2.53393466901299e-06,1.06404775307674,-18.7192531653647
"AO_0h_sl6A_sec3a","0h",2,"mixed",65,4.71030455804479e-05,10.6938456745618,1.22918969131677,0,3.61665383009704e-06,0.966404078006038,-17.7925289870708
"AO_0h_sl6A_sec3a","0h",3,"basolateral_out",120,9.4430609972827e-06,9.22307107667019,-1.08930415851047,-0.213461641133424,1.31005584379531e-06,0.966196951972423,-19.8975611957646
"AO_0h_sl6A_sec3a","0h",5,"apical_out",147,8.27836727487803e-05,18.2594715512631,2.04271560298512,0.771864250657768,5.81842204876392e-06,1.27119144546542,-17.7508673260602
"AO_0h_sl6A_sec3b","0h",1,"basolateral_out",278,1.82418221028862e-05,9.00893622931694,0.210945352076624,0.0682106913046089,2.13633644672301e-06,1.04378257350459,-18.9137473960674
"AO_0h_sl6A_sec3b","0h",2,"basolateral_out",209,1.32789852977583e-05,8.17687528251614,-0.247159581083851,-0.0715964362082528,1.78317018006105e-06,0.947053507194057,-19.232045201715
"AO_0h_sl6A_sec4a","0h",1,"basolateral_out",311,1.5725640737555e-05,12.9246504609995,-0.289883344716267,0,1.39967337836029e-06,1.19674200067832,-19.6485750330424
"AO_0h_sl6A_sec4a","0h",2,"mixed",161,4.73654481813134e-05,15.0484269112972,1.30083289032364,0.219487418314597,3.10051446941862e-06,1.24447571240898,-18.2773462163171
"AO_0h_sl6A_sec4a","0h",3,"basolateral_out",232,1.92252471557364e-05,11.6212645994551,0,-0.15335819623047,1.55826049687836e-06,1.12548423400091,-19.2053334920957
"AO_0h_sl6A_sec4b","0h",1,"mixed",139,5.69958971985373e-06,9.97364758484855,-0.561011759283769,0.0686520882597836,6.93944391555666e-07,1.10027174785111,-20.7388317242992
"AO_0h_sl6A_sec4b","0h",2,"basolateral_out",150,9.24482180690487e-06,8.86634679712822,0.136775680966197,-0.101129345555953,9.72578050844902e-07,0.972108180088207,-19.8712628502335
"AO_0h_sl6A_sec4b","0h",3,"mixed",78,6.42207688588796e-06,9.04666615537095,-0.388829893828139,-0.0720829051624207,1.30211129431257e-06,1.05274617011269,-20.4259148654214
"AO_0h_sl6A_sec4b","0h",4,"basolateral_out",264,1.75385457837442e-05,11.4784774358528,1.06058739481737,0.271390244570802,1.61655245891132e-06,1.0317046530231,-19.3199707265091
"AO_0h_sl6A_sec4b","0h",5,"basolateral_out",199,8.09677627054018e-06,8.00585580736958,-0.0545222174709717,-0.248413506817585,8.84373010510842e-07,0.950522061468346,-19.9152765874091
