page	subtype	color	x_center	y_center_from_top	x0	y0	x1	y1	path	contents
7	/Ink	0.024,0.541,0.11	457.33	311.27	415.37	258.66	499.06	353.75	499.06,353.75;498.30,352.99;497.53,352.23;496.77,351.47;492.21,348.43;489.17,344.62;488.40,344.62;486.12,343.10;485.36,342.34;483.84,340.82;483.08,340.06;482.32,339.30;480.80,337.77;480.04,337.77;479.28,337.77;478.51,337.01;477.75,335.49;476.99,335.49;474.71,334.73;474.71,333.97;473.95,333.97;473.19,333.97;472.43,333.97;472.43,333.21;472.43,332.45;471.67,332.45;470.91,331.69;470.91,330.93;469.39,329.41;468.62,328.65;467.10,327.12;466.34,325.60;466.34,324.08;465.58,323.32;464.82,323.32;462.54,321.80;462.54,321.04;461.78,318.76;461.02,318.00;460.26,315.71;459.50,314.95;457.98,314.95;456.45,311.15;455.69,310.39;454.17,308.87;453.41,308.11;451.13,305.06;450.37,304.30;449.61,303.54;448.85,302.78;448.08,301.26;445.04,298.98;444.28,298.22;440.48,295.17;438.96,292.89;437.43,290.61;435.91,287.56;434.39,286.04;431.35,280.72;430.59,279.20;429.07,274.63;427.54,273.11;426.78,271.59;426.02,270.07;424.50,267.79;423.74,266.26;419.94,262.46;419.18,261.70;419.18,260.94;418.42,260.94;417.65,260.18;416.89,260.18;416.89,259.42;415.37,259.42;415.37,258.66	stroke1/3 
7	/Ink	0.024,0.541,0.11	409.67	411.67	362.12	401.68	480.04	424.5	362.12,401.68;363.64,401.68;364.40,402.44;365.92,402.44;368.20,403.20;368.97,403.20;371.25,403.96;372.77,404.72;373.53,404.72;374.29,404.72;375.05,405.48;378.10,405.48;378.86,405.48;380.38,406.24;381.14,407.76;381.90,407.76;383.42,407.76;384.18,407.76;384.94,407.76;385.70,407.76;387.22,407.76;389.51,407.76;390.27,407.76;391.03,408.52;392.55,409.29;394.83,410.05;396.35,410.05;397.11,410.05;398.64,410.05;400.92,410.81;401.68,410.81;402.44,410.81;404.72,411.57;407.76,411.57;408.52,411.57;411.57,413.09;412.33,413.09;416.13,413.85;416.89,413.85;419.18,413.85;419.94,413.85;422.22,413.85;422.98,413.85;426.02,414.61;426.78,414.61;427.54,415.37;432.11,416.13;432.87,416.13;436.67,416.89;438.19,416.89;442.76,416.89;447.32,416.89;449.61,417.65;455.69,418.42;459.50,419.94;464.06,420.70;470.15,422.22;472.43,422.98;476.23,423.74;478.51,424.50;479.28,424.50;480.04,424.50	stroke2/3 
7	/Ink	0.024,0.541,0.11	423.07	364.07	344.62	327.88	474.71	390.27	474.71,390.27;473.19,389.51;473.19,388.75;472.43,388.75;470.91,387.99;470.15,387.22;469.39,386.46;468.62,386.46;467.10,384.94;467.10,384.18;466.34,384.18;465.58,384.18;464.06,383.42;464.06,382.66;463.30,382.66;462.54,382.66;461.78,381.90;461.02,381.14;461.02,380.38;460.26,380.38;458.74,379.62;457.98,378.86;457.21,378.86;456.45,378.10;456.45,377.33;455.69,377.33;455.69,376.57;454.93,376.57;454.93,375.81;454.17,375.81;452.65,375.81;452.65,375.05;451.89,375.05;451.13,375.05;451.13,374.29;450.37,374.29;449.61,374.29;448.85,374.29;447.32,374.29;446.56,374.29;445.80,374.29;445.04,374.29;444.28,374.29;443.52,374.29;442.76,374.29;442.76,373.53;441.24,373.53;441.24,372.77;440.48,372.77;439.72,372.77;439.72,372.01;438.96,372.01;438.96,371.25;438.19,371.25;438.19,370.49;437.43,370.49;435.91,370.49;435.15,370.49;434.39,370.49;433.63,370.49;433.63,369.73;432.87,369.73;432.11,369.73;432.11,368.20;431.35,368.20;430.59,368.20;429.83,368.20;429.07,368.20;428.31,367.44;427.54,367.44;427.54,366.68;426.78,366.68;426.02,366.68;425.26,366.68;425.26,365.92;424.50,365.92;423.74,365.92;422.98,365.92;422.22,365.92;421.46,365.92;421.46,365.16;420.70,365.16;419.18,365.16;418.42,364.40;417.65,364.40;416.89,364.40;416.13,362.88;415.37,362.12;413.85,362.12;413.85,361.36;413.09,361.36;413.09,360.60;412.33,359.84;411.57,359.84;411.57,359.08;411.57,358.32;410.81,358.32;410.05,358.32;409.29,358.32;408.52,356.79;407.76,356.79;407.00,356.03;406.24,356.03;405.48,355.27;405.48,354.51;403.96,353.75;400.92,352.99;400.92,352.23;400.16,351.47;398.64,350.71;397.11,349.95;396.35,349.95;394.07,349.19;391.79,348.43;391.03,348.43;389.51,347.67;388.75,347.67;384.94,346.90;384.18,346.14;382.66,344.62;381.90,344.62;378.86,343.10;378.10,343.10;377.33,342.34;376.57,342.34;375.81,341.58;375.05,340.82;373.53,340.82;372.77,339.30;372.01,338.54;371.25,338.54;369.73,337.77;364.40,336.25;362.88,335.49;357.56,333.21;354.51,331.69;350.71,330.17;349.19,329.41;346.14,328.65;345.38,328.65;344.62,327.88	stroke3/3 
7	/Popup		1100.0	399.75						
8	/Text	0.588,0.263,0.988	606.17	294.55						out
8	/Popup		896.67	337.4						
8	/Text	0.588,0.263,0.988	551.39	177.15						out
8	/Popup		896.67	220.01						
8	/Text	0.588,0.263,0.988	419.76	355.73						out
8	/Popup		1100.0	396.14						
